host_id,host_name,host_since,host_is_superhost,host_listings_count
2466,Paddy,8/23/2008,f,3
8028,Sylvia,2/16/2009,t,1
7148,Peggy,1/27/2009,f,1
8186,Elizabeth,2/19/2009,t,1
13879,Todd,4/17/2009,t,1
14156,Amy,4/20/2009,t,2
80406,Dani,2/11/2010,t,10
84906,Stacey,2/24/2010,t,2
56488,David,11/22/2009,t,1
89031,Gina,3/6/2010,t,1
102862,Elana,4/3/2010,t,1
140174,Tiffany,6/7/2010,f,1
161189,Chris,7/8/2010,t,1
210965,Susan,8/24/2010,t,2
170787,Robbie,7/18/2010,f,1
215917,Belinda,8/28/2010,t,1
12409,Flip,4/6/2009,f,2
268988,Stephanie,10/23/2010,t,2
272156,Lois,10/27/2010,t,2
336916,Drew,1/6/2011,t,1
347068,Particular Properties,1/14/2011,t,3
82762,Dolina,2/18/2010,t,1
355348,Jason,1/20/2011,t,1
374529,Alyson & Max,2/2/2011,f,4
377037,Becca,2/4/2011,f,1
378744,Ellen And Andy,2/5/2011,t,1
379080,Becky,2/6/2011,t,3
128514,Vivian,5/20/2010,t,1
382510,Christina,2/8/2011,t,2
387918,Amy & Justin,2/11/2011,f,1
393905,David,2/15/2011,t,2
404260,Kelly,2/22/2011,t,2
177441,Ash,7/22/2010,f,2
408534,Kevin And Bob,2/24/2011,t,1
394012,Peter,2/15/2011,t,1
411190,Lynn,2/26/2011,f,1
1665428,Krista,1/28/2012,f,1
416628,Carlos,3/1/2011,t,2
419006,Jordan,3/2/2011,f,1
419192,Keith And Shannon,3/2/2011,t,1
419707,Julia,3/2/2011,f,3
421002,E. Dixie,3/3/2011,f,1
423840,Marcus,3/5/2011,t,1
2157243,Sean,4/17/2012,f,14
425706,Robert,3/6/2011,t,6
427758,Ford,3/7/2011,t,1
428883,Beau,3/7/2011,t,1
430091,Shawn,3/8/2011,f,2
436771,Merlyn,3/11/2011,f,1
445746,Kimberly,3/16/2011,f,1
456230,Michele,3/22/2011,t,1
321037,Lucien,12/17/2010,f,2
487072,Greg & Amanda,4/5/2011,t,10
543367,Mary,4/28/2011,t,2
552705,"Amanda (Marz, Nickname)",5/2/2011,t,2
578211,Pete,5/11/2011,t,9
578249,Larry And Susan,5/11/2011,f,2
634580,Morrie And Rachel,5/27/2011,t,4
688306,Epiphany,6/10/2011,f,1
475506,Dan,3/31/2011,f,1
741170,Scott,6/24/2011,f,1
372205,Keith,2/1/2011,f,3
760426,Lis,6/29/2011,f,1
628942,Marnie,5/26/2011,f,1
746286,Isabel,6/26/2011,f,1
835236,Jenny,7/18/2011,t,1
518748,Rachel,4/18/2011,f,3
951551,Lori,8/10/2011,f,1
989596,John,8/18/2011,t,2
729047,Tracy,6/21/2011,f,1
1018853,Merri Gale & Donald,8/25/2011,t,1
1029071,Suzanne,8/28/2011,t,1
1134580,Kalu,9/9/2011,f,1
1114843,Kris,9/5/2011,f,1
1157982,Lyon,9/14/2011,t,4
1169129,David And Kristy,9/16/2011,t,1
51183342,Hunter,12/13/2015,t,9
